,gb,lasso,linear,ridge,mean,sd
t_m_times_v_n_sum,2,1,2,1,1.5,0.5
HP.Total.Propulsion,1,2,6,2,2.75,1.920286436967152
distance_sum,6,3,1,3,3.25,1.7853571071357126
W_component_first,3,4,7,5,4.75,1.479019945774904
NT,13,5,3,7,7.0,3.7416573867739413
t_over_t_ref_without_m_sum,5,6,13,8,8.0,3.082207001484488
work_sum,4,21,8,4,9.25,6.977642868476432
age,7,8,18,13,11.5,4.387482193696061
v_over_v_ref_without_n_sum,10,21,9,6,11.5,5.678908345800274
missing_frac_sea,8,7,17,16,12.0,4.527692569068709
Draught..m.,16,21,10,9,14.0,4.847679857416329
LOA..m.,20,21,4,11,14.0,6.96419413859206
Beam.Mld..m.,17,12,15,14,14.5,1.8027756377319946
LBP..m.,19,21,5,15,15.0,6.164414002968976
port_frac,9,9,25,19,15.5,6.837397165588672
trip_nunique,15,10,22,17,16.0,4.301162633521313
Dwt,14,21,11,22,17.0,4.636809247747852
MRV.verifier.name,22,21,14,12,17.25,4.322904116447646
Size.Category,26,21,12,10,17.25,6.53356717268599
MRV.method.a,21,11,20,20,18.0,4.06201920231798
Speed..knots.,11,21,24,21,19.25,4.9180788932265
MRV.verifier.country,23,21,16,18,19.5,2.692582403567252
longest_jump,12,14,26,26,19.5,6.5383484153110105
MRV.method.c,24,13,23,24,21.0,4.636809247747852
TPC,18,21,21,25,21.25,2.48746859276655
MRV.method.b,25,21,19,23,22.0,2.23606797749979
MRV.method.d,27,21,27,27,25.5,2.598076211353316
